Age,Gender,Location_Type,Income_Level,Awareness_of_Mental_Health,Stigma_Level,Perception_of_Therapy,Need_for_Services,Common_Issue,Service_Type,Average_Cost_Per_Session,Affordability_Perception,Platform_Used,User_Satisfaction_Rating,Corporate_Wellness_Program,Government_Initiative_Awareness,NGO_Initiative_Participation,Projected_Market_Growth
21,Female,Semi-Urban,Middle,0,High,Neutral,0,Anxiety,In-Person,2000,Affordable,Talkspace,4,0,0,0,2.950612121
31,Male,Semi-Urban,Low,1,High,Positive,1,Other,Online,500,Expensive,BetterHelp,4,1,0,0,7.440872408
49,Female,Semi-Urban,High,1,High,Positive,0,Anxiety,Online,750,Affordable,No Platform Used,1,1,1,0,7.663887386
64,Female,Rural,Middle,0,Moderate,Positive,1,Other,In-Person,750,Expensive,YourDost,1,1,0,0,7.786689912
24,Female,Semi-Urban,Low,0,High,Positive,0,Anxiety,Online,2000,Affordable,YourDost,2,0,1,0,9.636400506
21,Male,Urban,Middle,1,Low,Positive,0,Stress,In-Person,750,Expensive,No Platform Used,4,0,0,0,8.381110878
27,Male,Urban,Middle,1,Moderate,Neutral,1,Stress,In-Person,750,Affordable,YourDost,3,0,1,1,8.946891998
57,Male,Urban,Middle,0,Moderate,Neutral,0,Stress,In-Person,1500,Expensive,No Platform Used,4,0,0,0,4.612580898
28,Female,Rural,Middle,1,Moderate,Neutral,1,Depression,In-Person,2000,Expensive,No Platform Used,4,0,0,0,4.033984507
45,Male,Semi-Urban,Middle,1,High,Neutral,1,Anxiety,In-Person,1500,Affordable,YourDost,2,0,1,0,3.673545107
36,Female,Semi-Urban,Middle,1,Moderate,Positive,0,Depression,Online,500,Affordable,Talkspace,1,0,0,0,7.42023035
25,Male,Rural,Middle,0,High,Positive,1,Depression,Online,1000,Expensive,YourDost,5,1,0,0,6.186429603
26,Male,Rural,Middle,1,Low,Neutral,0,Depression,Online,500,Expensive,Wysa,3,0,0,0,8.546544532
33,Female,Semi-Urban,Middle,0,High,Positive,1,Stress,Online,2000,Affordable,No Platform Used,2,0,1,1,3.190066407
23,Male,Rural,Low,1,Moderate,Positive,0,Depression,Online,1000,Expensive,YourDost,3,0,0,0,5.647021543
52,Female,Semi-Urban,Low,1,Moderate,Positive,1,Depression,Online,750,Expensive,No Platform Used,4,1,0,1,8.516866283
23,Male,Urban,High,1,High,Neutral,1,Depression,Online,2000,Affordable,Talkspace,2,0,1,0,6.604791537
39,Female,Urban,Low,0,High,Neutral,1,Other,Online,750,Affordable,Wysa,1,0,1,0,6.374474513
61,Male,Urban,High,1,Low,Positive,0,Other,Online,750,Expensive,No Platform Used,1,0,0,0,5.330321385
25,Other,Rural,Middle,1,Low,Positive,0,Stress,Online,2000,Expensive,YourDost,5,0,1,1,7.914059567
50,Male,Urban,Middle,1,High,Positive,1,Depression,In-Person,750,Expensive,BetterHelp,1,0,1,0,6.150604729
29,Female,Urban,Middle,0,Moderate,Positive,1,Stress,In-Person,1500,Expensive,YourDost,5,0,0,0,3.780061296
40,Female,Urban,Middle,0,Moderate,Neutral,1,Depression,Online,750,Expensive,Wysa,2,1,0,0,7.213985014
25,Male,Urban,Middle,0,Moderate,Positive,1,Stress,Online,1000,Affordable,No Platform Used,4,0,1,0,8.906071939
27,Female,Urban,Low,1,Low,Positive,1,Anxiety,Online,2000,Expensive,No Platform Used,3,0,0,1,6.407134724
27,Female,Urban,Low,1,Moderate,Positive,1,Stress,Online,2000,Expensive,BetterHelp,5,0,0,0,4.844975511
58,Female,Urban,Middle,0,High,Positive,0,Depression,Online,500,Expensive,Wysa,5,1,0,0,8.115033903
57,Male,Urban,Low,0,Low,Positive,0,Stress,Online,1500,Affordable,No Platform Used,4,0,1,1,4.973547562
44,Female,Urban,Low,1,High,Positive,0,Depression,In-Person,2000,Affordable,YourDost,2,1,0,0,5.156096967
58,Female,Urban,Low,1,Low,Neutral,1,Anxiety,Online,500,Expensive,BetterHelp,4,1,0,0,5.572779649
25,Female,Semi-Urban,Low,1,Moderate,Neutral,1,Anxiety,Online,500,Affordable,Wysa,4,0,0,0,2.940334277
45,Female,Semi-Urban,Middle,1,Moderate,Positive,0,Anxiety,Online,500,Expensive,Wysa,1,0,1,0,7.992943377
51,Female,Rural,Middle,0,Moderate,Positive,1,Depression,Online,1500,Affordable,BetterHelp,4,0,1,0,7.099741208
61,Male,Semi-Urban,Middle,0,High,Neutral,0,Depression,Online,1000,Affordable,No Platform Used,5,0,0,0,9.274929002
32,Male,Rural,Middle,0,High,Negative,1,Stress,Online,1000,Affordable,BetterHelp,3,0,1,0,5.320732213
36,Female,Semi-Urban,High,1,Moderate,Positive,1,Other,Online,500,Expensive,YourDost,2,1,1,0,10.36330042
57,Male,Urban,Middle,1,High,Positive,0,Anxiety,Online,2000,Expensive,BetterHelp,3,0,0,0,5.894346464
45,Male,Urban,Middle,0,Moderate,Negative,0,Depression,Online,2000,Expensive,YourDost,5,0,0,0,5.882144077
56,Male,Urban,Middle,1,Moderate,Neutral,1,Other,Online,1500,Affordable,Wysa,2,0,0,0,6.864532214
19,Female,Rural,Low,1,High,Positive,0,Anxiety,Online,750,Affordable,YourDost,3,1,1,0,8.155607585
46,Male,Urban,Low,1,High,Neutral,1,Anxiety,In-Person,1000,Expensive,YourDost,3,0,1,1,3.811537436
35,Male,Rural,Middle,1,High,Positive,0,Other,Online,750,Expensive,No Platform Used,4,0,0,1,7.423248094
21,Male,Rural,Low,1,Moderate,Positive,1,Depression,In-Person,750,Affordable,No Platform Used,2,0,0,1,4.60693945
55,Male,Rural,Low,1,High,Positive,0,Anxiety,Online,2000,Expensive,Wysa,4,0,1,0,6.833120329
30,Female,Urban,Low,1,Moderate,Neutral,1,Stress,Online,500,Affordable,No Platform Used,5,0,1,0,7.227499822
27,Male,Semi-Urban,Middle,1,High,Positive,0,Stress,Online,2000,Affordable,Talkspace,4,0,1,0,5.623734604
28,Female,Urban,High,1,Moderate,Positive,1,Anxiety,In-Person,2000,Expensive,BetterHelp,5,0,0,0,7.839133619
53,Male,Rural,Middle,1,High,Positive,0,Stress,Online,750,Expensive,No Platform Used,4,0,1,0,7.764213484
44,Female,Urban,Middle,1,Moderate,Positive,0,Stress,In-Person,2000,Expensive,BetterHelp,2,1,1,1,6.918790606
24,Female,Semi-Urban,Middle,0,Low,Positive,0,Anxiety,In-Person,2000,Affordable,Talkspace,5,0,1,0,9.704625457
51,Female,Rural,Middle,0,Moderate,Positive,1,Stress,In-Person,2000,Affordable,No Platform Used,5,1,0,0,6.217032137
53,Female,Semi-Urban,Low,1,Moderate,Neutral,1,Stress,Online,750,Expensive,YourDost,4,1,1,0,4.261834436
55,Female,Urban,Low,0,Moderate,Positive,1,Anxiety,Online,1000,Expensive,BetterHelp,1,1,1,0,2.638572324
25,Female,Rural,Low,0,Moderate,Neutral,1,Stress,Online,1000,Affordable,No Platform Used,1,0,0,0,5.509373904
27,Female,Semi-Urban,Middle,1,Moderate,Positive,0,Other,Online,500,Affordable,No Platform Used,3,1,1,0,8.68520284
58,Male,Rural,Middle,1,Moderate,Neutral,1,Anxiety,In-Person,1500,Affordable,Wysa,4,0,0,0,8.379494397
45,Male,Urban,High,1,Low,Neutral,1,Anxiety,In-Person,500,Affordable,BetterHelp,5,1,1,0,9.039844216
21,Female,Semi-Urban,High,1,Low,Positive,1,Anxiety,Online,2000,Expensive,No Platform Used,2,0,0,0,1.621067275
59,Female,Semi-Urban,Middle,0,Moderate,Neutral,1,Anxiety,In-Person,500,Expensive,Wysa,5,0,1,0,4.558145082
52,Male,Semi-Urban,Middle,1,Low,Positive,0,Anxiety,Online,500,Expensive,Wysa,3,0,0,0,6.920495935
29,Male,Urban,Middle,0,High,Positive,1,Anxiety,Online,2000,Affordable,No Platform Used,2,0,1,1,10.10921784
20,Male,Urban,Middle,0,Low,Positive,1,Stress,Online,500,Expensive,BetterHelp,2,1,0,0,6.988061406
52,Female,Urban,Middle,0,High,Positive,0,Depression,In-Person,1000,Expensive,BetterHelp,3,1,0,0,10.4348803
23,Female,Urban,Low,0,Moderate,Positive,1,Stress,Online,1000,Affordable,BetterHelp,1,0,0,0,5.8008267
22,Female,Rural,Middle,1,Low,Positive,0,Depression,Online,2000,Expensive,BetterHelp,2,1,1,0,7.63005251
49,Female,Rural,Low,0,Low,Neutral,0,Stress,Online,1000,Affordable,Wysa,1,1,0,1,6.639957664
46,Female,Urban,Middle,1,Low,Negative,1,Anxiety,In-Person,750,Affordable,No Platform Used,3,0,0,0,10.56039301
39,Female,Urban,Low,1,High,Neutral,1,Stress,In-Person,2000,Expensive,No Platform Used,4,1,0,1,10.53178813
20,Female,Rural,Middle,1,High,Negative,0,Anxiety,Online,2000,Expensive,No Platform Used,3,0,1,0,11.30454861
60,Female,Urban,Middle,1,Low,Negative,1,Anxiety,In-Person,750,Expensive,BetterHelp,3,1,1,1,6.796732969
41,Male,Urban,Middle,1,Low,Positive,1,Anxiety,In-Person,1000,Expensive,YourDost,5,0,0,0,5.393264294
25,Female,Semi-Urban,Middle,1,Moderate,Positive,1,Depression,Online,1500,Expensive,Wysa,1,0,1,1,6.609808786
63,Male,Urban,High,1,Moderate,Neutral,0,Other,Online,500,Affordable,Wysa,1,1,1,0,5.89849026
46,Male,Semi-Urban,Middle,1,Low,Positive,1,Anxiety,Online,1000,Expensive,BetterHelp,1,0,0,0,9.775763291
26,Male,Semi-Urban,Middle,0,High,Positive,1,Depression,Online,1500,Affordable,YourDost,1,0,0,0,6.278596183
42,Male,Semi-Urban,Low,0,Moderate,Negative,1,Anxiety,In-Person,2000,Affordable,No Platform Used,3,0,1,0,10.33811097
21,Male,Urban,High,1,Low,Positive,0,Stress,Online,1500,Expensive,YourDost,5,1,0,1,8.863815403
20,Male,Semi-Urban,Low,0,Low,Negative,0,Stress,In-Person,1500,Affordable,Wysa,1,0,1,0,5.89936507
31,Male,Semi-Urban,Middle,1,Moderate,Positive,1,Stress,Online,1500,Affordable,YourDost,5,0,0,0,6.799269563
28,Male,Urban,High,1,High,Positive,0,Anxiety,Online,500,Affordable,BetterHelp,3,0,0,0,5.694925653
46,Female,Rural,Middle,1,High,Positive,0,Depression,Online,1000,Affordable,Talkspace,1,0,0,0,9.204796726
28,Male,Semi-Urban,High,0,Moderate,Negative,1,Stress,In-Person,1000,Affordable,YourDost,5,0,1,1,6.953288708
60,Male,Rural,Low,1,High,Positive,0,Anxiety,In-Person,1500,Affordable,BetterHelp,4,0,0,1,4.412841011
24,Male,Urban,Middle,1,Moderate,Positive,0,Stress,Online,1500,Affordable,No Platform Used,2,0,1,1,8.68300613
21,Female,Semi-Urban,Middle,0,Low,Positive,1,Other,In-Person,2000,Expensive,YourDost,1,0,1,0,8.567475615
20,Male,Urban,Low,0,Moderate,Positive,1,Stress,Online,500,Affordable,YourDost,1,1,1,0,3.391679086
18,Male,Rural,Middle,1,Low,Positive,0,Anxiety,Online,500,Affordable,Talkspace,4,0,0,0,5.711436778
46,Female,Urban,Middle,1,Moderate,Positive,1,Anxiety,Online,2000,Expensive,No Platform Used,1,0,1,0,2.318833891
36,Male,Urban,Middle,0,Low,Positive,1,Stress,In-Person,2000,Affordable,No Platform Used,2,1,1,1,5.527087712
37,Female,Rural,Low,1,High,Positive,0,Stress,Online,1000,Affordable,Talkspace,1,0,0,0,7.505343675
58,Female,Urban,High,1,High,Positive,0,Depression,Online,2000,Affordable,YourDost,4,0,0,0,4.098885343
62,Female,Urban,Middle,0,High,Positive,1,Stress,Online,750,Affordable,No Platform Used,2,0,0,0,8.349403957
48,Male,Semi-Urban,Low,0,Moderate,Neutral,1,Depression,Online,500,Affordable,YourDost,2,0,0,1,2.369359352
42,Female,Semi-Urban,Low,1,Moderate,Neutral,1,Depression,In-Person,750,Affordable,No Platform Used,5,0,0,0,9.300878903
58,Male,Urban,Middle,0,Low,Positive,1,Anxiety,In-Person,1000,Expensive,Wysa,1,0,1,0,6.952620216
59,Female,Rural,Middle,0,Low,Positive,1,Depression,In-Person,2000,Expensive,Wysa,5,0,1,1,7.052312642
62,Female,Urban,High,1,Moderate,Negative,0,Other,In-Person,2000,Expensive,No Platform Used,5,0,1,1,7.96511833
27,Female,Rural,Low,1,Moderate,Neutral,0,Depression,Online,1500,Expensive,No Platform Used,5,1,0,0,9.705696681
24,Male,Urban,High,1,High,Positive,0,Stress,Online,1000,Affordable,Talkspace,1,0,0,1,5.035148569
24,Female,Rural,Middle,1,High,Positive,1,Other,Online,2000,Expensive,No Platform Used,2,0,1,0,7.583592613
52,Female,Urban,Middle,1,Moderate,Positive,1,Other,In-Person,2000,Expensive,YourDost,1,1,1,0,5.656926611
40,Male,Semi-Urban,Middle,1,High,Positive,1,Anxiety,Online,1000,Expensive,No Platform Used,2,0,0,0,7.033899321
29,Male,Urban,Middle,1,Low,Neutral,1,Depression,Online,1000,Affordable,BetterHelp,4,0,0,0,7.213062906
57,Male,Semi-Urban,Low,1,High,Positive,1,Other,Online,1000,Affordable,Wysa,4,0,1,0,5.369701622
21,Male,Rural,Low,1,High,Positive,0,Stress,Online,2000,Affordable,No Platform Used,3,1,1,1,5.073166616
29,Female,Urban,Low,1,Low,Neutral,1,Anxiety,Online,1500,Affordable,YourDost,4,0,0,0,9.170030148
59,Male,Semi-Urban,Middle,1,Moderate,Positive,1,Anxiety,In-Person,500,Affordable,No Platform Used,2,1,1,1,7.19917705
53,Male,Urban,Middle,1,Moderate,Positive,1,Stress,In-Person,500,Expensive,YourDost,3,0,0,0,5.803500658
62,Other,Urban,Low,0,Moderate,Positive,1,Stress,In-Person,1500,Affordable,BetterHelp,5,0,1,0,11.19092773
43,Female,Urban,Middle,0,High,Positive,1,Stress,Online,500,Affordable,Talkspace,2,0,0,0,7.007234789
52,Female,Semi-Urban,Low,1,Low,Positive,1,Anxiety,Online,500,Affordable,No Platform Used,4,0,0,1,9.122303345
56,Female,Urban,Middle,1,High,Positive,0,Stress,In-Person,500,Affordable,YourDost,2,0,0,0,5.96228933
41,Male,Rural,Middle,1,Moderate,Positive,0,Depression,Online,1000,Expensive,No Platform Used,2,0,0,0,4.9609733
37,Male,Semi-Urban,Low,0,Moderate,Positive,0,Stress,Online,1500,Affordable,YourDost,2,0,0,1,7.966364569
24,Female,Urban,Middle,1,Moderate,Positive,1,Depression,In-Person,1500,Expensive,Talkspace,1,0,0,0,7.142822489
22,Female,Rural,Middle,1,Low,Positive,1,Stress,Online,750,Expensive,No Platform Used,2,1,0,0,9.852678371
46,Male,Urban,High,1,Moderate,Positive,1,Stress,Online,1500,Expensive,BetterHelp,2,0,1,0,6.886660856
19,Male,Rural,Middle,1,High,Positive,1,Anxiety,Online,500,Affordable,Wysa,5,0,0,0,5.55340876
23,Other,Urban,Middle,1,Moderate,Negative,0,Stress,Online,2000,Affordable,No Platform Used,1,0,1,0,4.171228588
46,Female,Urban,Low,1,Moderate,Neutral,0,Anxiety,In-Person,2000,Expensive,No Platform Used,1,0,0,0,8.114180478
45,Male,Urban,High,1,Moderate,Neutral,1,Anxiety,In-Person,500,Expensive,No Platform Used,1,0,0,0,3.5601246
33,Male,Rural,Middle,0,High,Positive,0,Depression,Online,2000,Affordable,YourDost,5,0,0,0,6.549607835
35,Female,Semi-Urban,Low,1,Low,Neutral,1,Anxiety,Online,1000,Expensive,Wysa,1,0,0,0,6.802673365
29,Male,Semi-Urban,High,0,High,Positive,1,Anxiety,Online,1500,Affordable,No Platform Used,5,1,0,0,5.296506697
51,Male,Semi-Urban,Middle,1,Moderate,Neutral,1,Anxiety,Online,1000,Expensive,No Platform Used,3,0,0,0,6.463572643
35,Male,Rural,Low,1,Moderate,Positive,1,Stress,Online,750,Affordable,YourDost,1,0,1,0,7.989331099
22,Female,Semi-Urban,Middle,1,High,Positive,1,Anxiety,Online,1500,Expensive,Talkspace,1,0,0,0,7.068475073
62,Male,Urban,Middle,1,Moderate,Positive,1,Stress,Online,1500,Affordable,Wysa,3,0,0,1,5.252377799
44,Male,Rural,Middle,1,Low,Positive,1,Depression,Online,2000,Expensive,BetterHelp,2,0,1,1,9.126095116
21,Female,Urban,Middle,1,High,Positive,1,Stress,Online,1000,Expensive,No Platform Used,5,0,1,1,6.140261755
59,Female,Urban,Middle,1,High,Positive,1,Depression,In-Person,1500,Affordable,No Platform Used,5,1,0,0,4.951745669
28,Female,Urban,Middle,1,Low,Positive,0,Other,In-Person,750,Affordable,Talkspace,4,0,1,0,7.49393452
45,Male,Urban,Low,1,High,Positive,1,Anxiety,Online,500,Expensive,Wysa,2,0,0,0,6.983634572
27,Male,Urban,Middle,1,High,Positive,1,Depression,Online,750,Affordable,BetterHelp,1,1,0,1,9.052184983
44,Male,Rural,Low,1,High,Positive,0,Depression,Online,1000,Affordable,No Platform Used,1,0,0,0,4.742312633
26,Female,Rural,Middle,0,High,Positive,1,Anxiety,Online,1500,Affordable,Wysa,4,0,0,1,4.665019486
44,Female,Urban,Low,1,High,Negative,0,Anxiety,In-Person,500,Expensive,No Platform Used,4,1,0,0,4.681679765
22,Female,Semi-Urban,Low,1,High,Negative,1,Stress,In-Person,1500,Expensive,Wysa,2,0,0,0,8.65036763
57,Male,Rural,Low,1,High,Positive,0,Anxiety,In-Person,500,Expensive,No Platform Used,5,0,1,1,7.085942686
33,Male,Rural,Low,1,Moderate,Positive,0,Stress,Online,1500,Affordable,No Platform Used,1,0,0,1,8.72689532
56,Female,Rural,Low,1,High,Positive,1,Depression,Online,1000,Expensive,Wysa,4,0,1,1,5.330381606
28,Male,Semi-Urban,Middle,1,Low,Positive,1,Depression,Online,500,Expensive,No Platform Used,5,0,1,1,7.388928335
33,Female,Semi-Urban,High,0,High,Positive,1,Depression,Online,2000,Affordable,BetterHelp,4,0,0,1,7.595221805
48,Female,Urban,Middle,0,Moderate,Positive,0,Other,Online,750,Affordable,Talkspace,1,0,0,0,8.481799167
19,Other,Rural,Low,1,Moderate,Positive,0,Anxiety,In-Person,1500,Expensive,Talkspace,1,0,0,0,6.483663289
25,Male,Urban,Low,1,Low,Positive,0,Stress,Online,500,Expensive,YourDost,2,1,0,1,7.642161937
55,Male,Urban,Middle,0,Moderate,Positive,1,Anxiety,In-Person,2000,Expensive,Talkspace,1,1,1,0,12.04904756
50,Male,Semi-Urban,Middle,1,Moderate,Positive,1,Depression,Online,1000,Expensive,No Platform Used,3,1,0,0,6.718089314
51,Male,Rural,Middle,1,Low,Positive,0,Other,Online,750,Expensive,No Platform Used,5,0,0,0,6.273107805
63,Male,Rural,Low,0,Moderate,Negative,1,Anxiety,Online,750,Affordable,YourDost,2,1,1,0,9.419742809
29,Female,Semi-Urban,Low,0,Moderate,Negative,0,Depression,Online,500,Affordable,YourDost,1,0,1,1,8.315243976
23,Male,Urban,Middle,1,Moderate,Positive,1,Stress,In-Person,2000,Affordable,No Platform Used,1,0,0,0,5.727542822
37,Male,Semi-Urban,Middle,0,Moderate,Neutral,1,Depression,In-Person,750,Affordable,Talkspace,3,0,1,1,7.851835616
60,Female,Urban,Middle,0,Moderate,Neutral,0,Anxiety,Online,2000,Expensive,Talkspace,1,0,1,0,9.882061838
41,Male,Urban,Low,1,Moderate,Neutral,1,Anxiety,Online,2000,Expensive,No Platform Used,2,0,0,0,3.752292901
60,Female,Urban,Middle,1,Moderate,Neutral,1,Anxiety,In-Person,2000,Affordable,No Platform Used,1,0,0,0,6.996809188
61,Male,Urban,Middle,0,Moderate,Positive,1,Depression,Online,1500,Affordable,No Platform Used,2,1,0,1,8.148408621
44,Male,Urban,Low,1,Low,Neutral,1,Stress,In-Person,1500,Affordable,Wysa,1,1,0,0,7.678418916
26,Male,Urban,Low,1,High,Positive,1,Other,Online,750,Affordable,No Platform Used,5,0,0,0,3.467211083
55,Female,Urban,Low,1,Low,Positive,0,Stress,Online,1500,Expensive,Talkspace,5,0,0,0,5.260348824
30,Other,Semi-Urban,Low,0,High,Positive,0,Anxiety,Online,750,Expensive,No Platform Used,4,0,1,0,2.740122623
56,Other,Urban,Middle,1,Moderate,Neutral,0,Other,Online,2000,Affordable,Wysa,2,1,0,0,4.07446723
29,Female,Rural,Low,1,High,Positive,1,Anxiety,Online,2000,Affordable,YourDost,3,0,0,0,6.760279755
50,Male,Urban,Middle,1,Moderate,Neutral,0,Stress,In-Person,2000,Expensive,YourDost,5,0,1,0,7.250255212
26,Male,Urban,Low,1,Moderate,Neutral,0,Stress,Online,500,Expensive,Wysa,1,0,0,0,5.169857831
18,Female,Semi-Urban,Low,1,Moderate,Negative,0,Anxiety,Online,2000,Affordable,No Platform Used,3,0,0,0,5.574341487
36,Male,Rural,Middle,1,Moderate,Positive,1,Stress,Online,750,Affordable,Wysa,5,0,0,1,7.066864754
19,Male,Urban,Middle,1,High,Positive,1,Stress,Online,1500,Affordable,No Platform Used,4,0,1,0,4.862642579
43,Female,Semi-Urban,Low,0,Moderate,Neutral,1,Stress,Online,500,Expensive,No Platform Used,4,0,1,0,7.876892854
50,Male,Semi-Urban,Low,1,Low,Positive,1,Depression,Online,500,Expensive,Wysa,1,0,1,0,3.491306132
41,Male,Semi-Urban,Middle,0,High,Positive,1,Depression,In-Person,1500,Affordable,YourDost,2,0,0,1,8.910537122
52,Other,Urban,Middle,1,Moderate,Neutral,1,Other,Online,500,Affordable,YourDost,4,1,0,1,6.613201449
33,Male,Semi-Urban,Middle,1,Low,Neutral,1,Stress,In-Person,500,Expensive,Wysa,5,1,1,0,10.05799754
23,Male,Semi-Urban,Low,1,Moderate,Positive,1,Anxiety,Online,500,Expensive,No Platform Used,1,1,1,1,8.184264548
43,Male,Rural,Middle,1,Low,Negative,0,Depression,Online,2000,Affordable,No Platform Used,1,1,1,1,7.747973016
43,Male,Rural,Middle,1,Moderate,Positive,0,Stress,Online,1500,Expensive,No Platform Used,2,0,0,1,8.344302182
34,Male,Rural,Low,1,Low,Neutral,1,Stress,Online,2000,Affordable,YourDost,1,1,0,0,9.515154734
24,Male,Semi-Urban,Middle,1,Moderate,Neutral,0,Stress,Online,750,Affordable,No Platform Used,5,0,1,0,7.295426458
49,Female,Urban,Low,1,Low,Negative,0,Stress,In-Person,500,Affordable,Wysa,2,0,1,0,7.35698271
47,Male,Semi-Urban,Middle,1,Low,Positive,0,Anxiety,Online,1500,Expensive,YourDost,1,0,0,0,3.757796758
23,Male,Semi-Urban,Low,1,High,Neutral,1,Other,Online,750,Affordable,No Platform Used,4,0,0,0,8.814211866
62,Male,Semi-Urban,Low,1,Low,Neutral,1,Other,Online,500,Affordable,Wysa,4,1,0,0,5.61560363
33,Female,Urban,High,0,Moderate,Neutral,1,Depression,In-Person,1500,Expensive,No Platform Used,4,1,0,0,5.662498308
47,Female,Urban,High,1,Moderate,Negative,0,Other,Online,750,Affordable,BetterHelp,5,1,0,0,4.799146711
53,Female,Rural,Low,0,Moderate,Positive,0,Depression,Online,500,Expensive,No Platform Used,4,0,0,1,6.343815449
46,Female,Rural,Middle,1,Moderate,Positive,0,Stress,Online,1000,Affordable,BetterHelp,2,0,1,0,6.608060609
55,Male,Urban,High,0,Moderate,Neutral,0,Anxiety,Online,2000,Expensive,No Platform Used,5,0,0,0,7.538269779
21,Male,Urban,Middle,1,Low,Positive,1,Anxiety,Online,750,Expensive,YourDost,2,0,0,0,8.913816709
18,Male,Urban,Low,1,Low,Neutral,0,Depression,In-Person,1000,Affordable,No Platform Used,2,0,0,1,9.514943776
60,Female,Semi-Urban,Middle,1,High,Positive,1,Other,In-Person,2000,Expensive,YourDost,5,1,0,1,5.794618151
39,Female,Semi-Urban,Low,0,High,Neutral,1,Anxiety,In-Person,750,Expensive,BetterHelp,2,0,1,0,4.208666614
35,Male,Semi-Urban,High,1,Low,Positive,1,Stress,In-Person,2000,Affordable,YourDost,5,0,1,0,8.392927885
28,Female,Urban,Low,1,Moderate,Neutral,1,Other,Online,500,Expensive,No Platform Used,1,0,1,1,8.54093859
45,Male,Semi-Urban,Low,0,High,Positive,0,Anxiety,Online,1000,Expensive,No Platform Used,2,0,0,1,5.717708579
62,Female,Semi-Urban,Middle,0,High,Positive,1,Depression,In-Person,1500,Affordable,Wysa,2,0,1,1,7.317855936
34,Female,Urban,Low,1,Moderate,Positive,0,Depression,In-Person,1500,Expensive,Talkspace,1,1,0,0,8.856985166
42,Male,Semi-Urban,Low,1,High,Positive,1,Stress,In-Person,1000,Expensive,BetterHelp,2,1,0,0,10.00520007
55,Female,Semi-Urban,Middle,1,Moderate,Neutral,0,Stress,Online,750,Expensive,No Platform Used,1,0,1,0,7.333539159
24,Female,Rural,Middle,0,Moderate,Positive,1,Depression,Online,2000,Affordable,YourDost,2,0,1,1,7.183517138
27,Male,Rural,Low,1,Moderate,Positive,1,Anxiety,Online,1000,Expensive,Wysa,2,0,0,0,7.03864355
58,Male,Semi-Urban,Low,1,Moderate,Positive,0,Anxiety,Online,2000,Expensive,No Platform Used,1,0,1,0,4.400900689
43,Male,Urban,Low,0,High,Positive,1,Anxiety,In-Person,1000,Affordable,YourDost,5,0,0,0,3.443364819
25,Other,Urban,Middle,1,Moderate,Positive,1,Anxiety,Online,750,Expensive,YourDost,5,1,0,0,11.33984362
64,Female,Semi-Urban,Middle,1,Low,Positive,1,Stress,Online,1000,Expensive,No Platform Used,2,1,0,0,4.236266909
28,Female,Urban,Low,1,Moderate,Positive,1,Anxiety,Online,750,Expensive,No Platform Used,4,0,0,1,10.01797401
61,Male,Urban,Middle,0,Moderate,Neutral,1,Stress,Online,1000,Affordable,No Platform Used,3,0,0,0,5.512507403
28,Female,Semi-Urban,Middle,1,Moderate,Neutral,1,Depression,Online,1500,Affordable,Wysa,1,0,1,0,9.226011802
50,Female,Rural,High,1,High,Positive,1,Stress,Online,500,Expensive,No Platform Used,1,0,0,0,7.604856492
55,Male,Urban,Middle,1,High,Positive,1,Stress,In-Person,750,Expensive,Talkspace,1,0,1,0,9.319759033
32,Male,Urban,Middle,1,Moderate,Positive,1,Stress,In-Person,1500,Affordable,Wysa,5,0,0,0,7.904619057
31,Female,Semi-Urban,Low,1,Moderate,Positive,0,Stress,Online,500,Affordable,Wysa,2,0,1,0,6.547663191
33,Female,Semi-Urban,Middle,1,Moderate,Neutral,0,Anxiety,Online,1500,Affordable,No Platform Used,3,0,1,1,12.42948763
30,Female,Urban,Middle,1,Moderate,Positive,1,Anxiety,Online,750,Affordable,BetterHelp,4,1,0,1,4.771358168
26,Male,Semi-Urban,Middle,0,Low,Neutral,1,Depression,In-Person,1000,Affordable,YourDost,2,1,1,1,5.116033993
51,Male,Rural,Low,0,Moderate,Neutral,1,Stress,In-Person,1500,Expensive,Wysa,1,0,0,0,3.863899589
51,Male,Urban,Middle,0,Low,Positive,1,Other,Online,500,Expensive,No Platform Used,2,1,0,0,6.420440599
33,Female,Semi-Urban,Middle,0,Moderate,Neutral,0,Stress,Online,1000,Affordable,No Platform Used,1,1,0,0,9.276738514
44,Female,Urban,Low,1,Moderate,Neutral,1,Depression,Online,500,Expensive,BetterHelp,1,0,0,0,4.774527141
27,Female,Semi-Urban,Middle,0,Moderate,Neutral,1,Stress,Online,750,Affordable,BetterHelp,4,1,1,0,5.437893027
53,Male,Urban,Middle,1,High,Neutral,0,Anxiety,In-Person,500,Expensive,No Platform Used,5,0,0,0,4.890313177
19,Female,Urban,High,0,High,Positive,0,Anxiety,Online,750,Expensive,No Platform Used,2,0,1,0,7.137050838
20,Male,Semi-Urban,Low,0,Moderate,Neutral,0,Stress,Online,750,Affordable,Talkspace,1,0,0,0,3.94260421
22,Male,Rural,Middle,1,High,Neutral,1,Depression,In-Person,750,Expensive,BetterHelp,5,1,1,1,5.357024631
18,Male,Semi-Urban,Middle,0,Low,Positive,0,Stress,Online,2000,Expensive,BetterHelp,4,0,0,1,7.802888346
